Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Europe	18-21	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Don't care	Somewhat important	This information will be kept private.	Python, C, PHP, TypeScript, Go	Python, C	Rust, Haskell, Assembly, Ruby	I have lots of projects on the go. Switching between them keeps me motivated	Mobile dev, Embedded Systems, Cyber security, Game dev, Testing	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	Yes	Laptop, Desktop	Linux	3	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to only contribute to open source projects		Somewhat	Somewhat	Not sure	Not sure	Not sure	Strongly Agree	No	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Don't care	Requirement	Requirement	Very important	Somewhat important	Don't care	Don't care	This information will be kept private.	Other	Other	C, Haskell, Lisp, Other	I start a project but quickly lose motivation and usually don't complete a project	Mobile dev, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Lurking	Active		Laptop, Mobile	Windows	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No, I didn't know they were enabled	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	This information will be kept private.	JavaScript, HTML, CSS, Kotlin, Other	JavaScript, HTML, CSS, Kotlin, Other	TypeScript, Assembly, Ruby	Other	Web dev, Mobile dev, Game dev, Testing, Artificial Intelligence	Social media (twitter, facebook, myspace, bebo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Community-Member	Yes	Laptop, Desktop, Mobile	Windows	2	Several times per week	To improve my knowledge	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	22-25	13 - 17	Female	Employed (full time)	No	Bachelor's degree	Very important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP	JavaScript, HTML, CSS, C#	TypeScript, Haskell, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Data Science, Testing, Artificial Intelligence	Discord server listing website	3+ years	Chatting with other programmers, Lurking	Conke-Commander	Yes	Laptop, Desktop	Windows	3	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	18 - 21	Male	Rather not say	Yes	Bachelor's degree		Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	C++, Python, C, Assembly, Other	C++, Python, C	Kotlin, Rust, Lua	I commit to a project until I reach a defined end goal before moving on to the next	Fintech	Another discord server	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Patriotic-Procrastinator	Yes	Laptop, Desktop	Linux	1	Less than once per year	To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat	Somewhat	Not sure	Somewhat disagree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	C++, Python, Haskell, Assembly, Other	C++, Python, Assembly, Other	Haskell, Other	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Web dev, Artificial Intelligence	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers	Conke-Commander	Yes	Desktop	Linux	1	A least once per month	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	< 13	Male	Self Employed (full time)	Yes	Associate degree	Very important	Don't care	Requirement	Don't care	Somewhat important	Very important	Very important	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, PHP, TypeScript, Go, Other	Python, PHP	Rust	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Web dev, Cyber security, Artificial Intelligence, Other	Other	3+ years	Chatting with other programmers, Helping other programmers	Super-Talky	Yes	Laptop, Desktop	Mac	3	A least once per month	To give back to the community, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Don't care	Very important	Requirement	Somewhat important	Somewhat important	Very important	Very important	Don't care	This information will be kept private.	JavaScript, Python, C, HTML, CSS, PHP, Go	JavaScript, Python, HTML, CSS	C#, Kotlin, Rust, TypeScript	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Data Science, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	Yes	Laptop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to only contribute to open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Yes	This information will be kept private.
North America	22-25	< 13	Male	Employed (full time)	Yes	Associate degree	Requirement	Requirement	Requirement	Don't care	Don't care	Somewhat important	Very important	Somewhat important	Don't care	Requirement	This information will be kept private.	Go	Go		I commit to a project until I reach a defined end goal before moving on to the next	Other	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Lurking	Super-Talky	Yes	Desktop	Windows	3	A least once per month	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	31-40	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Very important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, HTML, CSS, C#	C#	C#, Go	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Web dev, Data Science	Discord server discovery	1-2 years	Helping other programmers, Lurking	Active	No but I'd like to be	Laptop, Desktop	Windows	3	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Europe	26-30	22 - 25	Male	Employed (full time)	No	Bachelor's degree	Very important	Don't care	Somewhat important	Somewhat important	Very important	Requirement	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	C++, C	C	C++, Rust	I need to have some collaborators in order to keep myself motivated	Embedded Systems, Cyber security, Artificial Intelligence	Discord server discovery	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Bepis-Drinker		Laptop, Desktop	Windows	2	Never			I don't have the time, I can't find any projects that interest me	Strongly Agree	Somewhat	Not sure	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Don't care	Very important	Requirement	Requirement	Requirement	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	C++, C#, Other	C#	Python	I need to have some collaborators in order to keep myself motivated	Other	Discord server discovery	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	Yes	Desktop	Windows	1	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Strongly disagree	No, I didn't know they were enabled	This information will be kept private.
North America	22-25	18 - 21	Other	Employed (full time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Very important	Don't care	Somewhat important	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, HTML, CSS, TypeScript	Rust, TypeScript, Other	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Game dev	Discord server discovery	0-1 years	Helping other programmers, Getting help with programming problems	Chatterbox	No but I'd like to be	Desktop	Windows	2	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Requirement	Somewhat important	Very important	Very important	Requirement	Very important	Somewhat important	Very important	This information will be kept private.	Java, C, Assembly, Go	Java, Go	C#, Kotlin	I commit to a project until I reach a defined end goal before moving on to the next	Fintech, Web dev, Embedded Systems, Testing	Social media (twitter, facebook, myspace, bebo, etc)	1-2 years	Lurking	I don't have a role :(		Laptop	Linux	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Somewhat	Not sure	Somewhat	Not sure	No	This information will be kept private.
North America	31-40	26+	Male	Employed (part time)	Yes	College/University study without earning a degree	Requirement	Very important	Very important	Don't care	Requirement	Requirement	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS	Python, HTML	Rust, Go	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Web dev, Cyber security, Game dev, Testing	Discord server listing website	1-2 years	Chatting with other programmers	Active	No but I'd like to be	Laptop, Desktop	Mac	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
